Date,Arasikere,Bangalore,Belthangdi,Bhadravathi,Chamaraj Nagar,Channapatana,Channarayapatna,Davangere,Gubbi,Gundlupet,Hassan,Hosadurga,Hunsur,K.R. Pet,K.R.Nagar,Kadur,Kanakapura,Karkala,Kundapura,Kunigal,Maddur,Mangalore,Nagamangala,Puttur,Ramanagara,Sira,Sulya,Tarikere,Tumkur,Udupi
2002-01-07,4650.0,3500.0,4500.0,275.0,2500.0,3450.0,3325.0,4050.0,4250.0,3000.0,3750.0,3230.0,3620.0,4000.0,3000.0,3000.0,360.0,4500.0,5000.0,450.0,3000.0,4000.0,3400.0,5412.0,250.0,300.0,6275.0,3750.0,3400.0,4500.0
2002-01-14,4650.0,3500.0,4500.0,275.0,2500.0,3450.0,3325.0,4167.0,4250.0,3000.0,3750.0,3230.0,3620.0,4000.0,3000.0,3000.0,360.0,4500.0,5000.0,450.0,3000.0,4000.0,3400.0,5412.0,250.0,300.0,6275.0,3750.0,3400.0,4500.0
2002-01-21,4650.0,3500.0,4500.0,275.0,2500.0,3450.0,3325.0,3883.0,4250.0,3000.0,3750.0,3230.0,3620.0,4000.0,3000.0,3000.0,360.0,4500.0,5000.0,450.0,3000.0,4000.0,3400.0,5412.0,250.0,300.0,6275.0,3750.0,3400.0,4500.0
2002-01-28,4650.0,3625.0,4500.0,275.0,2500.0,3450.0,3325.0,3800.0,4250.0,3000.0,3750.0,3230.0,3620.0,4000.0,3000.0,3000.0,360.0,4500.0,5000.0,450.0,3000.0,4000.0,3400.0,5412.0,250.0,300.0,6275.0,3750.0,3400.0,4500.0
2002-02-04,4650.0,3750.0,4500.0,275.0,2500.0,3450.0,3325.0,3617.0,4250.0,3000.0,3750.0,3230.0,3620.0,4000.0,3000.0,3000.0,360.0,4500.0,5000.0,450.0,3000.0,4000.0,3400.0,5412.0,250.0,300.0,6275.0,3750.0,3400.0,4500.0
2002-02-11,4650.0,3750.0,4500.0,275.0,2500.0,3450.0,3325.0,3730.0,4250.0,3000.0,3750.0,3230.0,3620.0,4000.0,3000.0,3000.0,360.0,4500.0,5000.0,450.0,3000.0,4000.0,3400.0,5412.0,250.0,300.0,6275.0,3750.0,3400.0,4500.0
2002-02-18,4650.0,3750.0,4500.0,275.0,2500.0,3450.0,3325.0,3492.0,4250.0,3000.0,3750.0,3230.0,3620.0,4000.0,3000.0,3000.0,360.0,4500.0,5000.0,450.0,3000.0,4000.0,3400.0,5412.0,250.0,300.0,6275.0,3750.0,3400.0,4500.0
2002-02-25,4650.0,3750.0,4500.0,275.0,2500.0,3450.0,3325.0,3610.0,4250.0,3000.0,3750.0,3230.0,3620.0,4000.0,3000.0,3000.0,360.0,4500.0,5000.0,450.0,3000.0,4000.0,3400.0,5412.0,250.0,300.0,6275.0,3750.0,3400.0,4500.0
2002-03-04,4650.0,3750.0,4500.0,275.0,2500.0,3450.0,3325.0,3483.0,4250.0,3000.0,3750.0,3230.0,3620.0,4000.0,3000.0,3000.0,360.0,4500.0,5000.0,450.0,3000.0,4000.0,3400.0,5412.0,250.0,300.0,6275.0,3750.0,3400.0,4500.0
2002-03-11,4650.0,3750.0,4500.0,275.0,2500.0,3450.0,3325.0,3520.0,4250.0,3000.0,3750.0,3230.0,3620.0,4000.0,3000.0,3000.0,360.0,4500.0,5000.0,450.0,3000.0,4000.0,3400.0,5412.0,250.0,300.0,6275.0,3750.0,3400.0,4500.0
