Date,Bagalakot,Bangalore,Bellary,Chitradurga,Davangere,Gadag,Hubli (Amaragol),Koppal,Laxmeshwar,Mundaragi,Mysore (Bandipalya),Raichur,Rona,Savanur,Yadgir
1/4/2010,2286,2450,2742,2794,1828,2947,2589,2465,2270,2357,2100,2210,2197,2473,709
1/11/2010,1938,2450,2458,2973,2350,2872,2546,2318,2281,2366,2093,2201,2113,2504,1764
1/18/2010,1951,2450,2639,2765,2386,2895,2492,2350,2204,2306,2086,2319,2228,2396,2457
1/25/2010,1834,2533,2455,2600,2421,2738,2337,2660,2221,2300,2078,2350,2188,2333,2598
2/1/2010,1846,2550,2539,2773,2478,2615,2209,2769,2277,2330,2071,2510,2152,2217,2528
2/8/2010,1849,2550,2336,2603,2536,2510,2256,2644,2183,2269,2064,2434,2447,2154,2521
2/15/2010,1612,2550,2370,2525,1945,2527,2212,2859,2160,2228,2056,2323,2510,2162,2555
2/22/2010,1544,2550,2558,2527,2080,2363,2069,2420,2177,2284,2049,2620,2434,2081,2589
3/1/2010,1813,2550,2709,2415,2214,2500,2119,2500,2149,2390,2042,2810,2250,2116,2689
3/8/2010,1606,2550,2860,2420,2349,2450,1859,2695,2057,2496,2035,2724,2312,2150,2654
3/15/2010,1802,2550,2812,2361,2328,2596,2199,2600,1973,2625,2028,2735,2416,2210,2779
3/22/2010,1833,2550,2950,2501,2528,2884,1940,2640,1886,2838,2020,2763,2665,2270,2778
3/29/2010,1942,3250,2992,2895,2476,2980,2194,2657,2050,2865,2013,3004,2808,2280,2915
4/5/2010,2261,3225,2968,2770,2513,2920,2271,2580,2697,2849,2006,2924,2583,2289,2782
4/12/2010,2291,3250,2947,2717,2549,2932,2340,2680,2550,2807,1998,2808,2255,2349,2782
4/19/2010,2744,3250,2960,2704,2537,2840,2363,2660,2487,2611,1991,2760,2345,2410,2779
4/26/2010,2693,3250,2863,2643,2522,2782,2366,2620,2526,2778,1984,2792,2392,2470,2741
5/3/2010,2574,3250,2901,2573,2496,2715,2350,2477,2384,2596,1977,2678,2214,2530,2499
5/10/2010,2595,3250,2762,2487,2481,2670,2377,2567,2402,2674,1970,2548,2278,2486,2572
5/17/2010,2653,3250,2824,2664,2466,2766,2500,2713,2184,2698,1962,2630,2077,2737,2437
5/24/2010,2762,3250,2746,2850,2458,2773,2511,2670,2550,2656,1955,2813,2198,2676,2084
5/31/2010,2830,3292,2699,2793,2472,2975,2382,2700,2615,2791,1948,2895,2364,2789,2637
6/7/2010,2944,3300,2955,2886,2667,3027,2481,2720,2550,2927,1940,3034,2388,3156,2588
6/14/2010,3056,3480,3054,2929,2776,3240,2789,2846,2508,3124,1933,2868,2290,3201,2903
