Date,Athani,Bagalakot,Bangalore,Bellary,Belur,Bhadravathi,Bijapur,Chitradurga,Davangere,Dharwar,Gadag,Gowribidanoor,H.B. Halli,Hanagal,Harappana Halli,Harihara,Hassan,Haveri,Hirekerur,Holenarsipura,Honnali,Hoovinahadagali,Hubli (Amaragol),Hunsur,Jamakhandi,Kollegal,Kottur,Kudchi,Kustagi,Mundaragi,Mundgod,Mysore (Bandipalya),Nargunda,Piriya Pattana,Ranebennur,Rona,Santhesargur,Shikaripura,Shimoga,Somvarpet,Soundati
2010-01-04,807.0,802.0,875.0,800.0,883.0,830.0,855.0,799.0,772.0,780.0,700.0,900.0,790.0,760.0,850.0,794.0,775.0,836.0,830.0,950.0,810.0,800.0,740.0,600.0,725.0,850.0,804.0,790.0,780.0,791.0,783.0,746.0,830.0,800.0,1020.0,768.0,850.0,797.0,855.0,700.0,826.0
2010-01-11,830.0,808.0,890.0,813.0,883.0,866.0,812.0,803.0,771.0,780.0,722.0,884.0,793.0,807.0,808.0,794.0,789.0,836.0,830.0,760.0,811.0,800.0,762.0,600.0,738.0,833.0,811.0,790.0,780.0,812.0,783.0,780.0,826.0,900.0,1020.0,780.0,850.0,780.0,857.0,700.0,830.0
2010-01-18,830.0,798.0,902.0,837.0,878.0,855.0,885.0,810.0,773.0,742.0,740.0,888.0,782.0,837.0,824.0,790.0,787.0,836.0,820.0,775.0,798.0,800.0,782.0,600.0,776.0,853.0,806.0,796.0,780.0,791.0,783.0,774.0,829.0,805.0,1020.0,779.0,767.0,763.0,861.0,720.0,843.0
2010-01-25,800.0,810.0,922.0,785.0,905.0,836.0,820.0,802.0,772.0,806.0,752.0,870.0,807.0,825.0,894.0,780.0,785.0,836.0,815.0,775.0,819.0,775.0,794.0,600.0,768.0,860.0,820.0,800.0,780.0,811.0,783.0,776.0,830.0,809.0,1020.0,781.0,683.0,792.0,844.0,771.0,839.0
2010-02-01,808.0,804.0,953.0,791.0,900.0,832.0,866.0,807.0,769.0,787.0,740.0,860.0,804.0,803.0,828.0,806.0,788.0,831.0,838.0,775.0,810.0,780.0,845.0,600.0,766.0,850.0,820.0,800.0,780.0,797.0,783.0,787.0,828.0,994.0,1020.0,766.0,600.0,790.0,830.0,700.0,833.0
2010-02-08,800.0,789.0,950.0,795.0,904.0,829.0,837.0,807.0,773.0,803.0,750.0,860.0,820.0,844.0,860.0,770.0,793.0,826.0,839.0,727.0,829.0,780.0,670.0,600.0,777.0,860.0,789.0,800.0,780.0,795.0,780.0,802.0,822.0,950.0,1020.0,761.0,874.0,787.0,840.0,767.0,836.0
2010-02-15,800.0,782.0,900.0,789.0,900.0,853.0,821.0,808.0,775.0,754.0,750.0,880.0,812.0,884.0,844.0,788.0,799.0,830.0,839.0,778.0,817.0,800.0,780.0,600.0,782.0,870.0,765.0,800.0,780.0,778.0,777.0,775.0,819.0,909.0,1020.0,770.0,787.0,784.0,840.0,700.0,825.0
2010-02-22,800.0,788.0,900.0,805.0,882.0,872.0,835.0,801.0,770.0,763.0,747.0,900.0,804.0,828.0,794.0,789.0,797.0,835.0,840.0,828.0,800.0,800.0,774.0,700.0,703.0,870.0,776.0,800.0,780.0,772.0,774.0,813.0,815.0,868.0,1020.0,747.0,700.0,781.0,842.0,740.0,809.0
2010-03-01,800.0,791.0,900.0,798.0,910.0,825.0,818.0,806.0,769.0,701.0,750.0,920.0,820.0,830.0,802.0,765.0,800.0,838.0,843.0,850.0,820.0,750.0,767.0,700.0,710.0,869.0,774.0,800.0,780.0,770.0,771.0,783.0,823.0,826.0,1020.0,760.0,683.0,780.0,840.0,780.0,822.0
2010-03-08,810.0,783.0,902.0,792.0,930.0,830.0,800.0,809.0,768.0,810.0,744.0,915.0,830.0,833.0,818.0,777.0,797.0,840.0,847.0,822.0,798.0,771.0,761.0,700.0,742.0,868.0,784.0,800.0,735.0,767.0,768.0,779.0,804.0,785.0,1020.0,744.0,667.0,780.0,840.0,820.0,836.0
2010-03-15,820.0,794.0,900.0,781.0,887.0,830.0,783.0,810.0,769.0,778.0,730.0,910.0,790.0,850.0,794.0,815.0,794.0,835.0,850.0,778.0,791.0,798.0,770.0,700.0,710.0,867.0,795.0,800.0,785.0,774.0,765.0,716.0,816.0,742.0,1020.0,734.0,650.0,775.0,850.0,860.0,835.0
2010-03-22,800.0,776.0,900.0,796.0,917.0,828.0,800.0,818.0,772.0,790.0,750.0,904.0,795.0,770.0,805.0,790.0,795.0,785.0,815.0,735.0,814.0,813.0,780.0,700.0,730.0,866.0,818.0,800.0,787.0,787.0,762.0,851.0,821.0,700.0,1020.0,753.0,754.0,770.0,832.0,840.0,859.0
2010-03-29,800.0,804.0,900.0,811.0,930.0,835.0,862.0,825.0,790.0,802.0,756.0,900.0,800.0,795.0,790.0,818.0,806.0,802.0,860.0,825.0,823.0,783.0,780.0,700.0,710.0,864.0,816.0,800.0,790.0,1223.0,759.0,874.0,794.0,849.0,1020.0,556.0,858.0,776.0,820.0,820.0,852.0
2010-04-05,818.0,791.0,915.0,814.0,950.0,860.0,830.0,833.0,792.0,800.0,750.0,900.0,800.0,773.0,810.0,822.0,850.0,818.0,825.0,800.0,865.0,797.0,760.0,750.0,767.0,863.0,835.0,800.0,792.0,804.0,756.0,788.0,774.0,809.0,1020.0,750.0,839.0,782.0,845.0,800.0,856.0
