Date,Bangalore,Belgaum,Bijapur,Chamaraj Nagar,Chickkaballapura,Chikkamagalore,Davangere,Gundlupet,Hassan,Hospet,Hubli (Amaragol),Kolar,Mysore (Bandipalya),Raichur,Shimoga,Tumkur
2002-01-07,300.0,380.0,188.0,300.0,225.0,250.0,250.0,285.0,250.0,180.0,277.0,300.0,725.0,166.0,350.0,300.0
2002-01-14,300.0,323.0,188.0,300.0,225.0,250.0,268.0,285.0,250.0,180.0,277.0,300.0,725.0,166.0,350.0,300.0
2002-01-21,300.0,290.0,188.0,300.0,225.0,250.0,285.0,285.0,250.0,180.0,277.0,300.0,702.0,166.0,350.0,300.0
2002-01-28,320.0,275.0,188.0,300.0,225.0,250.0,262.0,285.0,250.0,180.0,277.0,300.0,648.0,166.0,350.0,300.0
2002-02-04,340.0,270.0,188.0,300.0,225.0,250.0,230.0,285.0,250.0,180.0,230.0,300.0,623.0,166.0,350.0,300.0
2002-02-11,308.0,265.0,188.0,300.0,225.0,250.0,212.0,285.0,250.0,180.0,200.0,300.0,664.0,166.0,350.0,300.0
2002-02-18,302.0,260.0,188.0,300.0,225.0,250.0,226.0,285.0,250.0,180.0,230.0,300.0,564.0,166.0,350.0,300.0
2002-02-25,290.0,282.0,188.0,300.0,225.0,250.0,225.0,285.0,250.0,180.0,210.0,300.0,738.0,166.0,350.0,300.0
2002-03-04,278.0,275.0,188.0,300.0,225.0,250.0,217.0,285.0,250.0,180.0,200.0,300.0,762.0,166.0,350.0,300.0
2002-03-11,267.0,258.0,188.0,300.0,225.0,250.0,201.0,285.0,250.0,180.0,196.0,300.0,500.0,158.0,350.0,300.0
2002-03-18,255.0,240.0,200.0,300.0,225.0,250.0,180.0,285.0,250.0,180.0,185.0,300.0,544.0,150.0,350.0,300.0
2002-03-25,238.0,220.0,150.0,300.0,225.0,250.0,167.0,285.0,250.0,180.0,190.0,325.0,687.0,144.0,350.0,300.0
2002-04-01,234.0,218.0,150.0,300.0,225.0,250.0,186.0,285.0,225.0,180.0,200.0,322.0,700.0,123.0,350.0,300.0
2002-04-08,251.0,196.0,150.0,300.0,225.0,250.0,182.0,285.0,200.0,180.0,205.0,320.0,300.0,99.0,350.0,300.0
2002-04-15,240.0,244.0,150.0,300.0,228.0,271.0,175.0,285.0,200.0,180.0,195.0,292.0,300.0,108.0,350.0,300.0
2002-04-22,223.0,256.0,150.0,300.0,250.0,250.0,154.0,285.0,200.0,180.0,187.0,295.0,367.0,117.0,315.0,305.0
2002-04-29,254.0,235.0,150.0,400.0,242.0,240.0,175.0,275.0,200.0,180.0,198.0,312.0,400.0,103.0,280.0,288.0
2002-05-06,300.0,271.0,175.0,300.0,233.0,300.0,181.0,445.0,200.0,220.0,200.0,272.0,275.0,136.0,280.0,300.0
2002-05-13,248.0,266.0,170.0,313.0,237.0,390.0,200.0,380.0,200.0,260.0,200.0,290.0,280.0,148.0,280.0,325.0
2002-05-20,274.0,265.0,165.0,327.0,242.0,360.0,171.0,315.0,200.0,160.0,205.0,290.0,283.0,150.0,280.0,320.0
2002-05-27,315.0,350.0,200.0,340.0,246.0,352.0,199.0,250.0,200.0,174.0,222.0,270.0,300.0,153.0,292.0,315.0
2002-06-03,308.0,296.0,200.0,327.0,250.0,345.0,216.0,285.0,200.0,187.0,226.0,322.0,300.0,155.0,303.0,310.0
2002-06-10,338.0,314.0,200.0,313.0,293.0,250.0,251.0,320.0,275.0,201.0,244.0,325.0,317.0,158.0,315.0,305.0
2002-06-17,352.0,342.0,225.0,300.0,375.0,269.0,252.0,355.0,333.0,214.0,245.0,300.0,310.0,160.0,327.0,300.0
2002-06-24,400.0,350.0,212.0,300.0,350.0,288.0,258.0,390.0,275.0,228.0,276.0,324.0,367.0,170.0,338.0,300.0
2002-07-01,423.0,358.0,200.0,300.0,425.0,366.0,293.0,268.0,350.0,241.0,320.0,339.0,383.0,180.0,350.0,300.0
2002-07-08,391.0,365.0,225.0,315.0,433.0,438.0,276.0,295.0,315.0,255.0,330.0,324.0,393.0,190.0,348.0,300.0
2002-07-15,458.0,373.0,250.0,333.0,400.0,500.0,297.0,289.0,300.0,253.0,353.0,324.0,433.0,200.0,345.0,300.0
2002-07-22,435.0,418.0,238.0,343.0,400.0,433.0,319.0,285.0,325.0,252.0,358.0,360.0,425.0,240.0,342.0,330.0
2002-07-29,478.0,424.0,266.0,343.0,425.0,500.0,326.0,299.0,330.0,250.0,370.0,407.0,396.0,279.0,340.0,360.0
2002-08-05,518.0,525.0,300.0,340.0,442.0,500.0,342.0,289.0,350.0,249.0,390.0,414.0,446.0,319.0,375.0,300.0
2002-08-12,558.0,555.0,312.0,348.0,425.0,401.0,357.0,294.0,425.0,247.0,432.0,450.0,466.0,358.0,350.0,315.0
2002-08-19,592.0,533.0,312.0,340.0,433.0,464.0,379.0,291.0,440.0,245.0,415.0,436.0,473.0,398.0,358.0,330.0
2002-08-26,546.0,500.0,312.0,344.0,500.0,528.0,371.0,287.0,440.0,244.0,428.0,457.0,443.0,329.0,367.0,400.0
2002-09-02,608.0,530.0,300.0,327.0,550.0,333.0,427.0,292.0,440.0,242.0,458.0,464.0,600.0,346.0,375.0,375.0
2002-09-09,519.0,566.0,312.0,338.0,500.0,525.0,399.0,294.0,450.0,241.0,443.0,456.0,512.0,342.0,383.0,338.0
2002-09-16,577.0,523.0,300.0,362.0,550.0,406.0,374.0,290.0,475.0,239.0,454.0,550.0,423.0,355.0,392.0,300.0
2002-09-23,575.0,607.0,332.0,333.0,433.0,500.0,362.0,290.0,450.0,237.0,422.0,550.0,335.0,343.0,400.0,375.0
2002-09-30,550.0,540.0,350.0,380.0,438.0,502.0,356.0,272.0,475.0,236.0,417.0,550.0,550.0,387.0,383.0,352.0
2002-10-07,525.0,533.0,300.0,374.0,425.0,402.0,325.0,286.0,350.0,234.0,454.0,557.0,425.0,431.0,367.0,330.0
2002-10-14,525.0,500.0,365.0,368.0,433.0,406.0,346.0,314.0,350.0,232.0,500.0,462.0,433.0,462.0,350.0,337.0
2002-10-21,625.0,544.0,350.0,362.0,600.0,325.0,387.0,341.0,375.0,231.0,592.0,542.0,450.0,543.0,350.0,343.0
2002-10-28,631.0,560.0,375.0,356.0,600.0,485.0,368.0,445.0,550.0,229.0,562.0,557.0,550.0,401.0,350.0,350.0
2002-11-04,644.0,434.0,425.0,350.0,550.0,401.0,350.0,548.0,525.0,228.0,583.0,500.0,515.0,427.0,350.0,355.0
2002-11-11,644.0,510.0,375.0,344.0,525.0,454.0,350.0,652.0,456.0,226.0,520.0,562.0,475.0,477.0,400.0,300.0
2002-11-18,658.0,642.0,425.0,338.0,575.0,542.0,350.0,755.0,500.0,224.0,500.0,536.0,475.0,476.0,450.0,300.0
2002-11-25,622.0,571.0,400.0,332.0,450.0,500.0,350.0,859.0,425.0,223.0,457.0,518.0,500.0,453.0,500.0,325.0
2002-12-02,544.0,489.0,350.0,326.0,400.0,458.0,379.0,807.0,425.0,221.0,393.0,500.0,712.0,327.0,425.0,350.0
2002-12-09,531.0,422.0,355.0,321.0,450.0,550.0,333.0,755.0,400.0,220.0,400.0,512.0,700.0,343.0,350.0,450.0
2002-12-16,448.0,400.0,300.0,315.0,450.0,500.0,325.0,704.0,375.0,218.0,347.0,533.0,775.0,261.0,342.0,425.0
2002-12-23,348.0,277.0,225.0,309.0,390.0,480.0,288.0,652.0,350.0,216.0,263.0,486.0,400.0,203.0,333.0,400.0
2002-12-30,370.0,340.0,250.0,303.0,333.0,458.0,250.0,600.0,300.0,215.0,278.0,450.0,400.0,253.0,325.0,375.0
2003-01-06,388.0,356.0,200.0,297.0,412.0,342.0,272.0,537.0,275.0,213.0,286.0,479.0,350.0,270.0,317.0,350.0
2003-01-13,343.0,297.0,150.0,291.0,350.0,423.0,277.0,474.0,300.0,212.0,248.0,479.0,320.0,213.0,308.0,325.0
2003-01-20,340.0,253.0,200.0,285.0,377.0,401.0,250.0,412.0,275.0,210.0,250.0,386.0,412.0,205.0,300.0,300.0
2003-01-27,355.0,250.0,250.0,279.0,367.0,392.0,262.0,349.0,225.0,218.0,242.0,300.0,378.0,177.0,215.0,300.0
2003-02-03,347.0,277.0,232.0,273.0,362.0,400.0,268.0,286.0,225.0,226.0,205.0,354.0,358.0,188.0,275.0,350.0
2003-02-10,319.0,280.0,215.0,267.0,325.0,402.0,258.0,340.0,250.0,234.0,198.0,336.0,350.0,183.0,279.0,308.0
2003-02-17,322.0,243.0,198.0,300.0,362.0,401.0,250.0,395.0,225.0,242.0,260.0,329.0,400.0,178.0,284.0,265.0
2003-02-24,302.0,234.0,180.0,300.0,424.0,401.0,240.0,449.0,250.0,250.0,260.0,329.0,300.0,189.0,288.0,260.0
2003-03-03,293.0,267.0,180.0,300.0,380.0,300.0,241.0,401.0,235.0,250.0,275.0,300.0,400.0,185.0,290.0,268.0
2003-03-10,316.0,229.0,180.0,300.0,300.0,348.0,247.0,353.0,235.0,250.0,262.0,310.0,410.0,149.0,292.0,275.0
2003-03-17,332.0,238.0,170.0,301.0,388.0,310.0,248.0,305.0,247.0,250.0,262.0,317.0,375.0,164.0,294.0,279.0
2003-03-24,308.0,200.0,160.0,300.0,367.0,355.0,242.0,300.0,250.0,250.0,267.0,314.0,350.0,195.0,296.0,284.0
2003-03-31,319.0,250.0,180.0,300.0,400.0,400.0,252.0,296.0,250.0,250.0,262.0,307.0,350.0,184.0,298.0,288.0
2003-04-07,319.0,300.0,170.0,300.0,325.0,400.0,242.0,305.0,300.0,250.0,288.0,300.0,300.0,187.0,300.0,321.0
2003-04-14,349.0,300.0,160.0,297.0,350.0,400.0,268.0,305.0,300.0,250.0,298.0,392.0,300.0,211.0,321.0,355.0
2003-04-21,408.0,381.0,170.0,300.0,365.0,400.0,333.0,364.0,350.0,250.0,405.0,471.0,412.0,298.0,343.0,388.0
2003-04-28,480.0,459.0,250.0,300.0,412.0,390.0,354.0,423.0,350.0,270.0,403.0,525.0,525.0,260.0,364.0,500.0
2003-05-05,413.0,393.0,225.0,301.0,433.0,400.0,325.0,482.0,375.0,290.0,374.0,488.0,400.0,294.0,386.0,300.0
2003-05-12,397.0,387.0,200.0,300.0,475.0,402.0,275.0,541.0,350.0,260.0,387.0,500.0,350.0,247.0,407.0,295.0
2003-05-19,393.0,370.0,260.0,310.0,350.0,404.0,312.0,600.0,350.0,305.0,333.0,500.0,398.0,218.0,429.0,290.0
2003-05-26,391.0,443.0,250.0,320.0,350.0,406.0,296.0,547.0,375.0,350.0,367.0,492.0,443.0,253.0,450.0,297.0
2003-06-02,418.0,500.0,250.0,330.0,375.0,408.0,318.0,493.0,375.0,280.0,386.0,500.0,438.0,287.0,250.0,380.0
2003-06-09,457.0,475.0,260.0,340.0,425.0,400.0,321.0,440.0,400.0,340.0,425.0,500.0,475.0,322.0,300.0,300.0
2003-06-16,502.0,471.0,300.0,350.0,500.0,400.0,400.0,386.0,525.0,400.0,477.0,571.0,533.0,357.0,350.0,300.0
2003-06-23,570.0,511.0,300.0,300.0,500.0,514.0,430.0,333.0,490.0,440.0,512.0,593.0,543.0,392.0,375.0,350.0
2003-06-30,597.0,494.0,300.0,300.0,567.0,500.0,425.0,336.0,550.0,480.0,482.0,600.0,550.0,426.0,400.0,362.0
2003-07-07,579.0,538.0,300.0,300.0,600.0,605.0,443.0,307.0,550.0,400.0,470.0,586.0,533.0,461.0,400.0,375.0
2003-07-14,582.0,537.0,300.0,300.0,633.0,570.0,455.0,314.0,550.0,425.0,456.0,579.0,500.0,456.0,400.0,400.0
2003-07-21,586.0,534.0,300.0,300.0,600.0,542.0,450.0,297.0,575.0,450.0,467.0,592.0,500.0,452.0,400.0,388.0
2003-07-28,573.0,587.0,300.0,300.0,550.0,513.0,417.0,305.0,452.0,315.0,462.0,564.0,562.0,447.0,550.0,400.0
2003-08-04,631.0,640.0,300.0,300.0,600.0,475.0,428.0,303.0,525.0,500.0,473.0,500.0,525.0,442.0,500.0,310.0
2003-08-11,644.0,739.0,300.0,308.0,470.0,460.0,470.0,303.0,575.0,380.0,487.0,514.0,595.0,438.0,525.0,300.0
2003-08-18,650.0,631.0,300.0,322.0,500.0,382.0,410.0,314.0,575.0,500.0,495.0,517.0,680.0,433.0,550.0,350.0
2003-08-25,635.0,600.0,300.0,310.0,510.0,450.0,444.0,305.0,560.0,510.0,483.0,514.0,517.0,429.0,500.0,325.0
2003-09-01,598.0,655.0,300.0,310.0,325.0,400.0,407.0,318.0,550.0,550.0,485.0,500.0,512.0,424.0,617.0,350.0
2003-09-08,604.0,660.0,310.0,320.0,600.0,450.0,380.0,286.0,500.0,440.0,490.0,550.0,580.0,450.0,500.0,375.0
2003-09-15,597.0,657.0,320.0,315.0,600.0,500.0,420.0,304.0,475.0,500.0,498.0,593.0,594.0,437.0,450.0,300.0
2003-09-22,623.0,689.0,300.0,303.0,567.0,562.0,405.0,298.0,488.0,465.0,509.0,593.0,628.0,485.0,550.0,300.0
2003-09-29,669.0,626.0,300.0,300.0,483.0,450.0,445.0,291.0,500.0,550.0,550.0,586.0,630.0,470.0,567.0,325.0
2003-10-06,804.0,672.0,300.0,300.0,600.0,470.0,562.0,285.0,650.0,550.0,565.0,600.0,690.0,527.0,583.0,380.0
2003-10-13,939.0,650.0,500.0,316.0,650.0,489.0,488.0,278.0,635.0,650.0,580.0,629.0,775.0,594.0,600.0,662.0
2003-10-20,816.0,640.0,425.0,316.0,600.0,509.0,500.0,272.0,740.0,600.0,595.0,664.0,775.0,529.0,700.0,500.0
2003-10-27,832.0,557.0,350.0,716.0,600.0,529.0,512.0,266.0,500.0,550.0,610.0,700.0,775.0,555.0,600.0,400.0
2003-11-03,1000.0,760.0,425.0,577.0,600.0,549.0,525.0,259.0,700.0,550.0,625.0,671.0,688.0,700.0,462.0,430.0
2003-11-10,1040.0,670.0,500.0,439.0,625.0,568.0,538.0,253.0,600.0,575.0,608.0,700.0,540.0,581.0,325.0,465.0
