Date,Bangarpet,Bantwala,Belthangdi,Belur,Bhadravathi,Chikkamagalore,Davangere,Gangavathi,H.B. Halli,Haliyala,Hanagal,Harihara,Honnali,Hoovinahadagali,K.R.Nagar,Kalagategi,Kollegal,Lingasugur,Maddur,Mangalore,Moodigere,Mundgod,Mysore (Bandipalya),Nanjangud,Raichur,Sakaleshpura,Santhesargur,Shikaripura,Shimoga,Sindhanur,Sorabha,Srirangapattana,T. Narasipura,Tumkur,Udupi
2010-01-04,1240.0,980.0,1083.0,983.0,1088.0,1000.0,1383.0,1300.0,1393.0,930.0,970.0,1450.0,1270.0,1280.0,982.0,970.0,1150.0,1000.0,972.0,1070.0,930.0,925.0,875.0,950.0,1392.0,1005.0,993.0,975.0,1100.0,1280.0,1000.0,950.0,967.0,1300.0,1050.0
2010-01-11,1084.0,976.0,1084.0,960.0,1016.0,912.0,1376.0,1281.0,1380.0,975.0,945.0,1363.0,1320.0,1322.0,965.0,1020.0,1040.0,1000.0,951.0,1064.0,930.0,935.0,1004.0,950.0,1364.0,1007.0,956.0,1183.0,1100.0,1116.0,1000.0,977.0,950.0,1300.0,1050.0
2010-01-18,1140.0,980.0,1100.0,1000.0,1060.0,1000.0,1348.0,1180.0,1375.0,1015.0,921.0,1239.0,1000.0,1360.0,987.0,975.0,1070.0,1025.0,955.0,1060.0,888.0,918.0,1025.0,970.0,1317.0,1014.0,960.0,975.0,1067.0,1124.0,1000.0,983.0,790.0,1310.0,1050.0
2010-01-25,1150.0,980.0,1203.0,1000.0,1053.0,1007.0,1351.0,1144.0,1392.0,765.0,933.0,1503.0,1000.0,1310.0,992.0,1250.0,1050.0,1050.0,950.0,994.0,845.0,904.0,990.0,967.0,1250.0,1009.0,1042.0,992.0,1100.0,1170.0,1000.0,1045.0,993.0,1383.0,1050.0
2010-02-01,1208.0,980.0,1072.0,1000.0,1033.0,980.0,1332.0,1062.0,1405.0,681.0,932.0,1419.0,1200.0,1390.0,991.0,998.0,1090.0,1729.0,954.0,950.0,802.0,920.0,989.0,968.0,1179.0,1030.0,996.0,1046.0,1050.0,1254.0,1000.0,965.0,990.0,1300.0,1050.0
2010-02-08,1200.0,980.0,1082.0,992.0,975.0,952.0,1297.0,1147.0,1400.0,933.0,904.0,1460.0,1030.0,1382.0,1010.0,945.0,1060.0,1628.0,954.0,950.0,760.0,952.0,1005.0,1007.0,1165.0,982.0,1000.0,1100.0,1020.0,1210.0,1000.0,1000.0,1087.0,1325.0,1050.0
2010-02-15,1053.0,980.0,1092.0,975.0,983.0,1000.0,1290.0,1264.0,1360.0,957.0,875.0,1348.0,975.0,1191.0,1002.0,951.0,1088.0,1240.0,950.0,975.0,718.0,925.0,1002.0,970.0,1242.0,996.0,975.0,1000.0,1050.0,1158.0,1000.0,975.0,1073.0,1332.0,1050.0
2010-02-22,1132.0,978.0,1103.0,983.0,991.0,1050.0,1258.0,1135.0,1360.0,928.0,1026.0,1315.0,988.0,1000.0,987.0,957.0,1110.0,1308.0,950.0,1050.0,675.0,919.0,1008.0,990.0,1166.0,988.0,950.0,980.0,1075.0,1166.0,1000.0,1052.0,1050.0,1333.0,1050.0
2010-03-01,1050.0,980.0,1098.0,1060.0,988.0,984.0,1235.0,1193.0,1310.0,915.0,976.0,1000.0,1000.0,1150.0,979.0,962.0,1150.0,1345.0,1006.0,1050.0,632.0,937.0,970.0,1070.0,1058.0,970.0,971.0,1000.0,1088.0,1200.0,1000.0,1100.0,950.0,1400.0,1050.0
2010-03-08,1087.0,980.0,1090.0,1040.0,974.0,918.0,1212.0,1097.0,1261.0,902.0,927.0,1175.0,1012.0,1075.0,971.0,968.0,1150.0,1362.0,957.0,1050.0,590.0,955.0,986.0,998.0,1148.0,900.0,992.0,1000.0,1100.0,1197.0,1000.0,977.0,963.0,1242.0,1050.0
2010-03-15,1133.0,980.0,1252.0,1000.0,1035.0,1019.0,1190.0,1155.0,1212.0,909.0,924.0,1280.0,1025.0,980.0,1008.0,974.0,1125.0,1373.0,950.0,1050.0,967.0,912.0,905.0,1000.0,1108.0,975.0,1000.0,980.0,1100.0,1236.0,1000.0,990.0,1056.0,1260.0,1050.0
2010-03-22,1167.0,980.0,1090.0,1040.0,993.0,980.0,1150.0,1148.0,1162.0,897.0,938.0,1215.0,1083.0,1205.0,994.0,980.0,1100.0,1384.0,950.0,1050.0,962.0,936.0,983.0,1048.0,1057.0,1000.0,1030.0,983.0,1000.0,1252.0,1000.0,1000.0,1142.0,1310.0,1050.0
2010-03-29,1110.0,980.0,1068.0,1000.0,1000.0,932.0,1142.0,1216.0,950.0,926.0,925.0,1131.0,1050.0,1300.0,1001.0,990.0,1083.0,1394.0,951.0,1025.0,990.0,938.0,977.0,950.0,1095.0,1000.0,1003.0,1025.0,1100.0,1232.0,1000.0,1025.0,1102.0,1267.0,1050.0
2010-04-05,1055.0,980.0,1064.0,1000.0,970.0,958.0,1152.0,1259.0,1270.0,868.0,910.0,1212.0,1018.0,1395.0,977.0,1000.0,1100.0,1405.0,987.0,1025.0,988.0,942.0,980.0,967.0,944.0,1000.0,1165.0,970.0,1100.0,1224.0,1000.0,1150.0,1215.0,1330.0,1012.0
2010-04-12,1120.0,980.0,1080.0,1000.0,958.0,1005.0,1141.0,1188.0,955.0,898.0,900.0,1255.0,985.0,1213.0,974.0,1000.0,1100.0,1416.0,950.0,1025.0,1000.0,900.0,943.0,958.0,1037.0,988.0,1010.0,950.0,1150.0,1122.0,1000.0,983.0,1166.0,1284.0,1000.0
2010-04-19,1000.0,980.0,1076.0,1000.0,956.0,987.0,1049.0,1087.0,1087.0,918.0,865.0,1335.0,1012.0,1032.0,1098.0,1000.0,1100.0,1337.0,950.0,1025.0,990.0,935.0,947.0,950.0,994.0,993.0,900.0,1000.0,1200.0,1135.0,1000.0,966.0,988.0,1284.0,1040.0
2010-04-26,1067.0,981.0,1040.0,1000.0,965.0,1000.0,1056.0,1072.0,894.0,904.0,791.0,1284.0,1017.0,850.0,1040.0,1000.0,1133.0,1258.0,950.0,1025.0,1000.0,925.0,956.0,965.0,972.0,992.0,975.0,967.0,1100.0,1041.0,1000.0,950.0,1093.0,1188.0,1200.0
2010-05-03,1067.0,980.0,1034.0,980.0,978.0,1065.0,997.0,987.0,924.0,873.0,717.0,1200.0,1033.0,600.0,960.0,1000.0,1100.0,1110.0,950.0,1025.0,988.0,950.0,936.0,1010.0,836.0,987.0,1000.0,900.0,1077.0,1004.0,1000.0,965.0,1112.0,1220.0,1200.0
2010-05-10,1006.0,980.0,1050.0,1000.0,976.0,1250.0,955.0,967.0,875.0,935.0,930.0,1135.0,1000.0,712.0,925.0,1000.0,1100.0,846.0,950.0,1025.0,1000.0,917.0,971.0,1062.0,803.0,995.0,1025.0,1000.0,1100.0,1012.0,1000.0,1050.0,1062.0,1170.0,1200.0
2010-05-17,1043.0,980.0,1043.0,1000.0,958.0,1041.0,982.0,942.0,826.0,573.0,925.0,1077.0,971.0,823.0,950.0,1000.0,1100.0,900.0,950.0,1025.0,990.0,938.0,929.0,1038.0,860.0,998.0,1050.0,962.0,1100.0,1000.0,1000.0,1015.0,1124.0,1188.0,1080.0
2010-05-24,1060.0,980.0,1050.0,1000.0,962.0,1000.0,1037.0,1016.0,884.0,928.0,950.0,1257.0,1002.0,854.0,965.0,1000.0,1100.0,898.0,950.0,1025.0,990.0,953.0,899.0,950.0,860.0,989.0,1025.0,946.0,1100.0,1009.0,1000.0,1025.0,1063.0,1247.0,1000.0
2010-05-31,1112.0,982.0,1028.0,1000.0,1005.0,1109.0,1052.0,1021.0,905.0,860.0,950.0,1387.0,1008.0,881.0,942.0,1000.0,1100.0,944.0,950.0,1025.0,975.0,912.0,955.0,1025.0,881.0,991.0,1000.0,967.0,1100.0,1020.0,1000.0,1057.0,1130.0,1258.0,1000.0
2010-06-07,1117.0,980.0,1022.0,1000.0,978.0,1012.0,1053.0,1013.0,909.0,925.0,933.0,1334.0,1017.0,912.0,966.0,960.0,1100.0,924.0,950.0,1025.0,990.0,927.0,952.0,1022.0,884.0,1000.0,975.0,950.0,1100.0,1018.0,1000.0,1071.0,1090.0,1270.0,992.0
2010-06-14,1080.0,980.0,1030.0,1000.0,1024.0,965.0,1051.0,1047.0,918.0,875.0,925.0,1243.0,1098.0,902.0,989.0,977.0,1090.0,988.0,972.0,1025.0,1010.0,937.0,978.0,1000.0,928.0,1015.0,950.0,930.0,1100.0,1017.0,1000.0,1127.0,1080.0,1260.0,1050.0
2010-06-21,1048.0,980.0,1030.0,1000.0,1050.0,920.0,1059.0,1052.0,976.0,911.0,930.0,1372.0,1068.0,942.0,1044.0,972.0,1108.0,916.0,956.0,1025.0,1000.0,1008.0,1044.0,1100.0,924.0,1000.0,970.0,900.0,1100.0,1020.0,1000.0,1109.0,1174.0,1225.0,1050.0
2010-06-28,1103.0,980.0,1020.0,1000.0,1113.0,1292.0,1067.0,1086.0,957.0,962.0,935.0,1221.0,1056.0,982.0,1046.0,967.0,1066.0,963.0,960.0,1025.0,1000.0,942.0,1038.0,1000.0,1000.0,1000.0,988.0,895.0,1100.0,1072.0,1000.0,1136.0,1142.0,1253.0,1050.0
2010-07-05,1057.0,980.0,1028.0,1010.0,1033.0,1490.0,1066.0,1016.0,971.0,940.0,940.0,1340.0,1045.0,1019.0,1135.0,1030.0,1070.0,1035.0,979.0,1025.0,1000.0,1015.0,1088.0,1000.0,970.0,1233.0,1000.0,921.0,1100.0,1120.0,1000.0,1036.0,1040.0,1254.0,1050.0
2010-07-12,1064.0,980.0,1058.0,975.0,1026.0,1155.0,1077.0,1071.0,1100.0,960.0,945.0,1361.0,1062.0,1020.0,1052.0,1065.0,1100.0,1030.0,952.0,1025.0,1017.0,1050.0,1098.0,1110.0,996.0,996.0,1020.0,950.0,1150.0,1121.0,1000.0,1007.0,1040.0,1314.0,1050.0
2010-07-19,1110.0,985.0,1100.0,990.0,1040.0,1100.0,1081.0,1156.0,985.0,940.0,950.0,1253.0,1077.0,902.0,1003.0,1007.0,1100.0,978.0,992.0,1025.0,1000.0,953.0,1090.0,1000.0,949.0,1000.0,970.0,950.0,1150.0,1172.0,1000.0,1093.0,1120.0,1320.0,1050.0
2010-07-26,973.0,980.0,1100.0,1000.0,1024.0,1000.0,1081.0,1216.0,929.0,921.0,975.0,1290.0,1142.0,880.0,992.0,1030.0,1067.0,975.0,967.0,1025.0,1025.0,981.0,1138.0,1125.0,977.0,1000.0,962.0,950.0,1200.0,1198.0,1000.0,1012.0,1100.0,1328.0,1050.0
2010-08-02,1110.0,980.0,1110.0,1000.0,1271.0,1169.0,1082.0,1223.0,1045.0,803.0,1020.0,1104.0,1176.0,883.0,1092.0,1010.0,1074.0,978.0,1023.0,1254.0,1000.0,952.0,1104.0,1150.0,946.0,1000.0,1083.0,950.0,1167.0,1188.0,1000.0,1050.0,1180.0,1317.0,1150.0
2010-08-09,1090.0,980.0,1122.0,1150.0,980.0,965.0,1098.0,1166.0,1015.0,934.0,950.0,1310.0,1018.0,960.0,1083.0,1020.0,1080.0,990.0,975.0,1300.0,1040.0,943.0,1132.0,1325.0,937.0,1000.0,975.0,950.0,1133.0,1157.0,1000.0,1142.0,1233.0,1317.0,1150.0
2010-08-16,1066.0,986.0,1136.0,1300.0,1170.0,1000.0,1089.0,1256.0,980.0,952.0,1010.0,1183.0,1015.0,1067.0,1040.0,1067.0,1096.0,1002.0,1225.0,1300.0,1012.0,979.0,1091.0,1060.0,939.0,1000.0,800.0,695.0,1100.0,1170.0,1000.0,1100.0,1100.0,1300.0,1130.0
2010-08-23,1008.0,985.0,1132.0,1000.0,1043.0,1495.0,1075.0,1281.0,988.0,995.0,980.0,1235.0,1122.0,1070.0,1310.0,1113.0,1083.0,1014.0,1435.0,1175.0,1017.0,979.0,1013.0,1100.0,979.0,983.0,825.0,965.0,1200.0,1206.0,1000.0,1200.0,1160.0,1333.0,1100.0
2010-08-30,1090.0,987.0,1107.0,1000.0,1005.0,1323.0,1075.0,1235.0,1133.0,986.0,975.0,1218.0,1120.0,985.0,1112.0,1160.0,1100.0,1026.0,1330.0,1150.0,1067.0,992.0,1054.0,1000.0,1014.0,967.0,850.0,860.0,1325.0,1207.0,1000.0,1150.0,1138.0,1275.0,1100.0
2010-09-06,1095.0,990.0,1108.0,1000.0,1000.0,1000.0,1082.0,1224.0,982.0,930.0,1125.0,950.0,1027.0,1050.0,1115.0,1142.0,1100.0,1038.0,1225.0,1255.0,1040.0,990.0,1140.0,1000.0,989.0,950.0,875.0,900.0,1450.0,1169.0,1000.0,1150.0,1265.0,1350.0,1120.0
2010-09-13,1100.0,987.0,1065.0,1000.0,1062.0,1500.0,1085.0,1213.0,1050.0,1135.0,1000.0,1075.0,1050.0,1025.0,1000.0,1124.0,1100.0,1050.0,960.0,1360.0,1033.0,1000.0,1152.0,1000.0,938.0,975.0,900.0,940.0,1575.0,1238.0,1000.0,1075.0,1393.0,1350.0,1150.0
2010-09-20,1000.0,987.0,1033.0,1000.0,1000.0,1414.0,1090.0,1240.0,1028.0,1120.0,1100.0,1200.0,1100.0,1000.0,995.0,1106.0,1100.0,1062.0,964.0,1360.0,1100.0,980.0,1096.0,1130.0,976.0,950.0,925.0,949.0,1700.0,1208.0,1000.0,1000.0,1520.0,1300.0,1150.0
2010-09-27,1163.0,983.0,1010.0,1000.0,1042.0,1357.0,1090.0,1206.0,1083.0,959.0,962.0,1125.0,1071.0,1016.0,1090.0,1088.0,1100.0,1074.0,967.0,1360.0,1100.0,983.0,1086.0,1260.0,1008.0,950.0,950.0,958.0,1100.0,1241.0,1000.0,1050.0,1378.0,1243.0,1150.0
2010-10-04,1062.0,980.0,1027.0,1000.0,1025.0,1300.0,1090.0,1160.0,1005.0,925.0,950.0,1023.0,1000.0,975.0,1250.0,1120.0,1093.0,1086.0,984.0,1360.0,1060.0,1059.0,1130.0,1390.0,991.0,950.0,962.0,840.0,1250.0,1238.0,1000.0,1050.0,1200.0,1262.0,1150.0
2010-10-11,1077.0,985.0,1037.0,1000.0,1217.0,960.0,1088.0,1133.0,795.0,1050.0,970.0,1138.0,1000.0,967.0,1065.0,1153.0,1100.0,1098.0,1000.0,1360.0,1100.0,1005.0,1286.0,1520.0,896.0,950.0,975.0,900.0,1150.0,1143.0,1000.0,1000.0,1305.0,1218.0,1150.0
2010-10-18,1120.0,988.0,1026.0,1000.0,1050.0,1066.0,1093.0,1172.0,947.0,972.0,950.0,1171.0,1000.0,980.0,1000.0,1185.0,1100.0,1110.0,1000.0,1375.0,1133.0,1122.0,1031.0,1650.0,893.0,950.0,988.0,933.0,1125.0,1176.0,1000.0,1000.0,1180.0,1262.0,1150.0
2010-10-25,1162.0,980.0,1038.0,1000.0,1050.0,924.0,1159.0,1109.0,923.0,733.0,1038.0,1127.0,997.0,1008.0,1202.0,1218.0,1100.0,1127.0,1000.0,1380.0,1200.0,1089.0,1172.0,1000.0,898.0,950.0,1000.0,850.0,1100.0,1163.0,1000.0,1000.0,1405.0,1212.0,1150.0
