Date,Bangalore,Belgaum,Chickkaballapura,Chikkamagalore,Hassan,Hospet,Hubli (Amaragol),Kolar,Malur,Mysore (Bandipalya),Shimoga
2010-01-04,1283.0,1250.0,1050.0,1200.0,1200.0,600.0,1200.0,1150.0,800.0,1117.0,600.0
2010-01-11,1030.0,1060.0,725.0,1200.0,1200.0,750.0,933.0,950.0,860.0,1075.0,600.0
2010-01-18,930.0,730.0,817.0,1600.0,700.0,800.0,800.0,790.0,1004.0,1125.0,600.0
2010-01-25,875.0,925.0,783.0,1167.0,900.0,800.0,867.0,875.0,830.0,1025.0,600.0
2010-02-01,748.0,925.0,650.0,967.0,850.0,775.0,746.0,970.0,834.0,890.0,600.0
2010-02-08,786.0,900.0,684.0,925.0,800.0,750.0,933.0,870.0,782.0,825.0,600.0
2010-02-15,751.0,950.0,717.0,912.0,750.0,683.0,788.0,833.0,838.0,950.0,600.0
2010-02-22,764.0,900.0,650.0,900.0,733.0,700.0,750.0,967.0,825.0,850.0,600.0
2010-03-01,650.0,831.0,584.0,850.0,700.0,700.0,600.0,1100.0,900.0,650.0,600.0
2010-03-08,725.0,762.0,517.0,800.0,400.0,733.0,650.0,825.0,700.0,660.0,600.0
2010-03-15,588.0,820.0,436.0,800.0,650.0,600.0,771.0,770.0,730.0,675.0,600.0
2010-03-22,607.0,570.0,417.0,800.0,550.0,638.0,612.0,700.0,704.0,600.0,600.0
2010-03-29,548.0,700.0,400.0,800.0,530.0,675.0,582.0,658.0,742.0,675.0,600.0
2010-04-05,645.0,850.0,350.0,867.0,525.0,694.0,819.0,567.0,738.0,600.0,600.0
2010-04-12,616.0,750.0,412.0,800.0,500.0,714.0,733.0,640.0,524.0,650.0,600.0
2010-04-19,620.0,750.0,400.0,800.0,600.0,733.0,696.0,580.0,510.0,525.0,600.0
2010-04-26,726.0,750.0,378.0,800.0,464.0,753.0,712.0,590.0,493.0,675.0,600.0
2010-05-03,700.0,750.0,483.0,800.0,504.0,772.0,713.0,660.0,630.0,788.0,600.0
2010-05-10,734.0,730.0,475.0,1200.0,608.0,700.0,716.0,650.0,635.0,850.0,600.0
2010-05-17,852.0,725.0,550.0,1000.0,678.0,667.0,672.0,860.0,675.0,831.0,608.0
2010-05-24,861.0,760.0,553.0,883.0,650.0,733.0,677.0,825.0,792.0,800.0,616.0
2010-05-31,875.0,750.0,650.0,950.0,616.0,733.0,698.0,900.0,842.0,830.0,624.0
2010-06-07,871.0,700.0,600.0,1000.0,579.0,783.0,657.0,908.0,867.0,788.0,632.0
2010-06-14,875.0,800.0,700.0,900.0,558.0,777.0,711.0,890.0,690.0,825.0,640.0
2010-06-21,1021.0,700.0,800.0,800.0,437.0,700.0,677.0,938.0,657.0,810.0,648.0
