Date,Arasikere,Bangalore,Channarayapatna,Chintamani,Davangere,Gubbi,Harappana Halli,Hassan,Holenarsipura,Kadur,Mysore (Bandipalya),Nagamangala,Piriya Pattana,Shimoga,Tarikere,Tumkur
2002-01-07,335.0,465.0,310.0,425.0,362.0,434.0,400.0,330.0,335.0,300.0,347.0,400.0,380.0,450.0,350.0,378.0
2002-01-14,335.0,465.0,310.0,425.0,367.0,434.0,400.0,330.0,335.0,300.0,347.0,400.0,380.0,450.0,350.0,378.0
2002-01-21,335.0,465.0,310.0,425.0,356.0,434.0,400.0,330.0,335.0,300.0,334.0,400.0,380.0,450.0,350.0,378.0
2002-01-28,335.0,454.0,310.0,425.0,354.0,434.0,400.0,330.0,335.0,300.0,335.0,400.0,380.0,450.0,350.0,378.0
2002-02-04,335.0,443.0,310.0,425.0,363.0,434.0,400.0,330.0,335.0,300.0,345.0,400.0,380.0,450.0,350.0,378.0
2002-02-11,335.0,432.0,310.0,425.0,366.0,434.0,400.0,330.0,335.0,300.0,357.0,400.0,380.0,450.0,350.0,378.0
2002-02-18,335.0,465.0,310.0,425.0,381.0,434.0,400.0,330.0,335.0,300.0,358.0,400.0,380.0,450.0,350.0,378.0
2002-02-25,335.0,461.0,310.0,425.0,399.0,434.0,400.0,330.0,335.0,300.0,362.0,400.0,380.0,450.0,350.0,378.0
2002-03-04,335.0,458.0,310.0,425.0,395.0,434.0,400.0,330.0,335.0,300.0,352.0,400.0,380.0,450.0,350.0,378.0
2002-03-11,335.0,454.0,310.0,425.0,398.0,434.0,400.0,330.0,335.0,300.0,365.0,400.0,380.0,450.0,350.0,378.0
2002-03-18,335.0,450.0,310.0,425.0,398.0,434.0,400.0,330.0,335.0,300.0,388.0,400.0,380.0,450.0,350.0,378.0
2002-03-25,335.0,455.0,310.0,425.0,391.0,434.0,400.0,330.0,335.0,300.0,383.0,400.0,380.0,450.0,350.0,378.0
2002-04-01,335.0,442.0,310.0,425.0,393.0,434.0,400.0,335.0,335.0,300.0,385.0,400.0,380.0,450.0,350.0,378.0
2002-04-08,335.0,470.0,310.0,425.0,388.0,434.0,400.0,340.0,335.0,300.0,375.0,400.0,380.0,450.0,350.0,378.0
2002-04-15,363.0,489.0,310.0,365.0,382.0,434.0,400.0,340.0,335.0,350.0,382.0,400.0,380.0,450.0,350.0,377.0
2002-04-22,352.0,496.0,370.0,320.0,394.0,434.0,400.0,365.0,335.0,367.0,372.0,400.0,380.0,428.0,350.0,380.0
2002-04-29,368.0,485.0,322.0,373.0,385.0,392.0,400.0,365.0,350.0,364.0,383.0,375.0,380.0,418.0,350.0,378.0
2002-05-06,360.0,493.0,338.0,365.0,392.0,400.0,400.0,365.0,347.0,397.0,378.0,450.0,380.0,420.0,342.0,385.0
2002-05-13,356.0,484.0,354.0,350.0,385.0,407.0,370.0,365.0,344.0,382.0,389.0,325.0,380.0,445.0,335.0,378.0
2002-05-20,353.0,485.0,370.0,360.0,385.0,375.0,370.0,375.0,341.0,395.0,398.0,300.0,380.0,450.0,328.0,377.0
2002-05-27,390.0,485.0,367.0,380.0,384.0,365.0,385.0,355.0,350.0,360.0,398.0,484.0,380.0,426.0,320.0,376.0
2002-06-03,388.0,495.0,364.0,385.0,383.0,365.0,368.0,360.0,340.0,340.0,404.0,325.0,380.0,438.0,350.0,374.0
2002-06-10,386.0,500.0,360.0,410.0,386.0,340.0,373.0,355.0,350.0,356.0,388.0,445.0,380.0,437.0,335.0,373.0
2002-06-17,370.0,496.0,357.0,325.0,386.0,335.0,370.0,365.0,363.0,347.0,392.0,350.0,380.0,432.0,340.0,372.0
2002-06-24,370.0,483.0,300.0,339.0,388.0,365.0,380.0,358.0,355.0,380.0,376.0,383.0,360.0,427.0,300.0,375.0
2002-07-01,370.0,483.0,340.0,383.0,387.0,402.0,378.0,340.0,350.0,346.0,373.0,375.0,340.0,436.0,308.0,370.0
2002-07-08,363.0,484.0,300.0,322.0,385.0,392.0,386.0,365.0,365.0,350.0,383.0,300.0,341.0,453.0,317.0,370.0
2002-07-15,358.0,485.0,350.0,295.0,388.0,365.0,382.0,390.0,370.0,355.0,377.0,386.0,342.0,432.0,324.0,370.0
2002-07-22,362.0,492.0,317.0,322.0,388.0,395.0,402.0,390.0,350.0,372.0,406.0,460.0,343.0,434.0,330.0,369.0
2002-07-29,376.0,485.0,330.0,350.0,394.0,410.0,386.0,405.0,355.0,350.0,441.0,405.0,344.0,428.0,375.0,368.0
2002-08-05,369.0,485.0,340.0,375.0,413.0,417.0,454.0,440.0,360.0,382.0,461.0,445.0,346.0,452.0,442.0,370.0
2002-08-12,400.0,496.0,670.0,388.0,445.0,430.0,455.0,480.0,370.0,325.0,502.0,423.0,347.0,483.0,425.0,382.0
