Date,Bagepalli,Bangarpet,"Binny Mill (F&V), Bangalore",Channapatana,Chickkaballapura,Chikkamagalore,Chintamani,Davangere,Doddaballa Pur,Gundlupet,Hassan,Honnali,Hospet,K.R.Nagar,Kanakapura,Kolar,Malur,Mulabagilu,Mysore (Bandipalya),Nagamangala,Ramanagara,Shimoga,Srinivasapur
2002-01-07,300.0,250.0,300.0,438.0,133.0,189.0,300.0,212.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,478.0,200.0,200.0,300.0,250.0
2002-01-14,300.0,250.0,300.0,438.0,133.0,189.0,300.0,167.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,478.0,200.0,200.0,300.0,250.0
2002-01-21,300.0,250.0,467.0,438.0,133.0,189.0,300.0,190.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,522.0,200.0,200.0,300.0,250.0
2002-01-28,300.0,250.0,448.0,438.0,133.0,189.0,300.0,200.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,352.0,200.0,200.0,300.0,250.0
2002-02-04,300.0,250.0,430.0,438.0,133.0,189.0,300.0,190.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,495.0,200.0,200.0,300.0,250.0
2002-02-11,300.0,250.0,411.0,438.0,133.0,189.0,300.0,180.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,394.0,200.0,200.0,300.0,250.0
2002-02-18,300.0,250.0,392.0,438.0,133.0,189.0,300.0,155.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,253.0,200.0,200.0,300.0,250.0
2002-02-25,300.0,250.0,374.0,438.0,133.0,189.0,300.0,170.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,354.0,200.0,200.0,300.0,250.0
2002-03-04,300.0,250.0,355.0,438.0,133.0,189.0,300.0,183.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,368.0,200.0,200.0,300.0,250.0
2002-03-11,300.0,250.0,337.0,438.0,133.0,189.0,300.0,225.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,243.0,200.0,200.0,300.0,250.0
2002-03-18,300.0,250.0,318.0,438.0,133.0,189.0,300.0,175.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,225.0,180.0,755.0,191.0,200.0,200.0,300.0,250.0
2002-03-25,300.0,250.0,299.0,438.0,133.0,189.0,300.0,244.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,275.0,180.0,755.0,170.0,200.0,200.0,300.0,250.0
2002-04-01,300.0,250.0,281.0,438.0,133.0,189.0,300.0,200.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,234.0,180.0,755.0,316.0,200.0,200.0,300.0,250.0
2002-04-08,300.0,250.0,262.0,438.0,133.0,189.0,300.0,210.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,192.0,180.0,755.0,325.0,200.0,200.0,300.0,250.0
2002-04-15,300.0,250.0,375.0,200.0,135.0,269.0,238.0,249.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,186.0,180.0,755.0,343.0,200.0,200.0,300.0,250.0
2002-04-22,300.0,275.0,275.0,250.0,150.0,254.0,303.0,199.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,252.0,192.0,755.0,197.0,200.0,200.0,300.0,250.0
2002-04-29,300.0,250.0,370.0,802.0,180.0,250.0,287.0,312.0,633.0,150.0,250.0,200.0,210.0,250.0,733.0,220.0,231.0,755.0,342.0,467.0,150.0,303.0,250.0
2002-05-06,300.0,250.0,340.0,200.0,140.0,303.0,308.0,275.0,633.0,170.0,250.0,200.0,210.0,250.0,733.0,280.0,186.0,755.0,283.0,733.0,115.0,305.0,238.0
2002-05-13,300.0,310.0,290.0,375.0,150.0,322.0,319.0,288.0,633.0,213.0,250.0,200.0,210.0,250.0,733.0,210.0,211.0,755.0,336.0,1000.0,155.0,308.0,225.0
2002-05-20,300.0,270.0,345.0,500.0,183.0,363.0,361.0,312.0,633.0,257.0,250.0,200.0,210.0,250.0,733.0,364.0,300.0,755.0,378.0,100.0,275.0,311.0,238.0
2002-05-27,300.0,283.0,390.0,527.0,217.0,340.0,303.0,425.0,633.0,300.0,250.0,200.0,210.0,250.0,733.0,298.0,294.0,755.0,402.0,100.0,300.0,313.0,250.0
2002-06-03,300.0,300.0,450.0,433.0,250.0,474.0,343.0,500.0,633.0,268.0,250.0,200.0,210.0,250.0,733.0,332.0,240.0,755.0,490.0,550.0,308.0,316.0,250.0
2002-06-10,300.0,290.0,420.0,500.0,225.0,381.0,307.0,500.0,633.0,235.0,250.0,200.0,210.0,238.0,733.0,289.0,228.0,755.0,552.0,1000.0,332.0,319.0,250.0
2002-06-17,300.0,283.0,300.0,452.0,250.0,393.0,383.0,520.0,633.0,308.0,250.0,200.0,210.0,346.0,733.0,340.0,219.0,755.0,580.0,1000.0,292.0,321.0,250.0
2002-06-24,300.0,310.0,508.0,862.0,500.0,479.0,461.0,630.0,633.0,380.0,250.0,200.0,210.0,427.0,1000.0,599.0,460.0,755.0,645.0,1000.0,307.0,324.0,530.0
2002-07-01,300.0,354.0,575.0,710.0,457.0,475.0,504.0,610.0,633.0,467.0,250.0,200.0,210.0,442.0,775.0,507.0,468.0,755.0,695.0,825.0,300.0,327.0,514.0
2002-07-08,300.0,200.0,475.0,340.0,290.0,406.0,339.0,510.0,633.0,375.0,250.0,200.0,210.0,372.0,638.0,311.0,473.0,755.0,412.0,650.0,265.0,330.0,557.0
2002-07-15,300.0,185.0,280.0,479.0,233.0,400.0,350.0,470.0,633.0,283.0,250.0,200.0,210.0,376.0,500.0,335.0,178.0,755.0,526.0,475.0,258.0,332.0,567.0
2002-07-22,300.0,275.0,471.0,521.0,392.0,429.0,347.0,400.0,633.0,354.0,250.0,200.0,210.0,394.0,467.0,412.0,237.0,755.0,678.0,300.0,303.0,335.0,450.0
2002-07-29,300.0,350.0,500.0,517.0,447.0,417.0,386.0,480.0,633.0,372.0,250.0,200.0,210.0,352.0,388.0,476.0,400.0,755.0,652.0,350.0,272.0,338.0,443.0
2002-08-05,300.0,350.0,592.0,521.0,445.0,429.0,362.0,510.0,633.0,390.0,250.0,200.0,210.0,335.0,409.0,445.0,400.0,755.0,652.0,250.0,288.0,340.0,436.0
2002-08-12,300.0,320.0,565.0,500.0,377.0,414.0,354.0,460.0,633.0,408.0,250.0,200.0,210.0,330.0,431.0,366.0,450.0,755.0,424.0,300.0,257.0,343.0,429.0
2002-08-19,300.0,288.0,580.0,617.0,540.0,400.0,404.0,500.0,633.0,482.0,250.0,200.0,210.0,325.0,452.0,519.0,417.0,755.0,818.0,300.0,270.0,346.0,421.0
2002-08-26,300.0,400.0,617.0,583.0,500.0,417.0,382.0,575.0,633.0,557.0,250.0,200.0,210.0,320.0,474.0,439.0,393.0,755.0,458.0,297.0,270.0,348.0,414.0
2002-09-02,300.0,340.0,575.0,467.0,380.0,429.0,358.0,620.0,633.0,476.0,250.0,200.0,210.0,315.0,495.0,448.0,402.0,755.0,442.0,100.0,258.0,351.0,407.0
2002-09-09,300.0,325.0,492.0,310.0,228.0,407.0,314.0,540.0,633.0,395.0,250.0,200.0,210.0,310.0,517.0,288.0,354.0,755.0,278.0,240.0,242.0,354.0,400.0
