Date,Bangalore,Basava Kalayana,Bhadravathi,Bidar,Bijapur,Dharwar,Gadag,Gulbarga,Hubli (Amaragol),Jamakhandi,Laxmeshwar,Mysore (Bandipalya),Nargunda,Shimoga
2001-08-06,1023.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-08-13,1017.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-08-20,1012.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-08-27,1006.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-09-03,1000.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-09-10,1000.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-09-17,1017.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-09-24,1033.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-10-01,1050.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-10-08,1067.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-10-15,1083.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-10-22,1100.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-10-29,1100.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-11-05,1100.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-11-12,1100.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-11-19,1100.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-11-26,1094.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-12-03,1088.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-12-10,1082.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-12-17,1076.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-12-24,1070.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2001-12-31,1078.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2002-01-07,1085.0,687.0,900.0,744.0,888.0,905.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2002-01-14,1092.0,687.0,900.0,744.0,888.0,898.0,860.0,950.0,850.0,630.0,600.0,900.0,1058.0,620.0
2002-01-21,1100.0,687.0,900.0,744.0,888.0,890.0,860.0,950.0,850.0,630.0,600.0,1042.0,1058.0,620.0
2002-01-28,1082.0,687.0,900.0,744.0,888.0,883.0,860.0,950.0,850.0,630.0,600.0,1033.0,1058.0,620.0
2002-02-04,1065.0,687.0,900.0,744.0,888.0,876.0,860.0,950.0,755.0,630.0,600.0,1000.0,1058.0,620.0
2002-02-11,1072.0,687.0,900.0,744.0,888.0,869.0,860.0,950.0,798.0,630.0,600.0,1033.0,1058.0,620.0
2002-02-18,1075.0,687.0,900.0,744.0,888.0,861.0,860.0,950.0,840.0,630.0,600.0,1067.0,1058.0,620.0
2002-02-25,1089.0,687.0,900.0,744.0,888.0,854.0,860.0,950.0,821.0,630.0,600.0,1100.0,1058.0,620.0
2002-03-04,1102.0,687.0,900.0,744.0,888.0,847.0,860.0,950.0,850.0,630.0,600.0,1075.0,1058.0,620.0
2002-03-11,1116.0,687.0,900.0,744.0,888.0,840.0,860.0,950.0,864.0,630.0,600.0,1050.0,1058.0,620.0
2002-03-18,1130.0,687.0,900.0,744.0,908.0,832.0,860.0,950.0,701.0,630.0,600.0,1050.0,1058.0,620.0
2002-03-25,1130.0,687.0,900.0,744.0,925.0,825.0,860.0,950.0,737.0,630.0,600.0,1050.0,1058.0,620.0
2002-04-01,1085.0,687.0,900.0,744.0,900.0,800.0,860.0,950.0,825.0,630.0,600.0,1050.0,1058.0,620.0
2002-04-08,990.0,687.0,900.0,744.0,912.0,775.0,860.0,950.0,672.0,630.0,600.0,1050.0,1058.0,620.0
2002-04-15,1030.0,687.0,900.0,750.0,956.0,751.0,856.0,976.0,677.0,630.0,658.0,1050.0,1058.0,1100.0
2002-04-22,1075.0,687.0,900.0,770.0,892.0,752.0,830.0,950.0,850.0,630.0,715.0,1000.0,1058.0,806.0
2002-04-29,1200.0,678.0,900.0,808.0,965.0,714.0,837.0,958.0,822.0,630.0,715.0,975.0,1058.0,740.0
2002-05-06,1200.0,740.0,900.0,832.0,992.0,758.0,814.0,965.0,795.0,650.0,690.0,950.0,1058.0,860.0
2002-05-13,1200.0,680.0,900.0,850.0,950.0,780.0,834.0,973.0,796.0,662.0,775.0,925.0,1058.0,925.0
2002-05-20,1200.0,738.0,900.0,810.0,950.0,785.0,849.0,982.0,797.0,750.0,700.0,956.0,1058.0,760.0
2002-05-27,1200.0,696.0,900.0,771.0,956.0,786.0,843.0,990.0,798.0,634.0,733.0,987.0,1058.0,850.0
2002-06-03,1200.0,714.0,950.0,813.0,945.0,790.0,850.0,900.0,798.0,628.0,696.0,975.0,1058.0,1030.0
2002-06-10,1200.0,685.0,1000.0,813.0,935.0,800.0,828.0,916.0,799.0,600.0,728.0,950.0,1058.0,685.0
2002-06-17,1200.0,680.0,917.0,862.0,938.0,799.0,849.0,932.0,800.0,600.0,759.0,940.0,1058.0,923.0
